epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,751.653,0.28508,0.28599,0.86942,0.99451,1,0.995,0.97318,0.24015,0.29535,0.6299,0.0004885,0.0004885,0.0004885
157,756.44,0.28277,0.28164,0.86854,0.99245,1,0.995,0.96802,0.2535,0.29442,0.63301,0.0004852,0.0004852,0.0004852
158,761.289,0.29039,0.28664,0.87277,0.99346,1,0.995,0.96146,0.26522,0.29191,0.63465,0.0004819,0.0004819,0.0004819
159,766.072,0.29245,0.28614,0.86926,0.9921,1,0.995,0.96006,0.27922,0.29969,0.63818,0.0004786,0.0004786,0.0004786
160,770.888,0.29356,0.28821,0.86689,0.99182,1,0.99485,0.97386,0.25257,0.29907,0.63517,0.0004753,0.0004753,0.0004753
161,775.714,0.30821,0.29696,0.87511,0.99156,1,0.99456,0.97051,0.25827,0.3055,0.6365,0.000472,0.000472,0.000472
162,780.522,0.27582,0.27771,0.86447,0.99148,1,0.99463,0.96575,0.25933,0.30676,0.63658,0.0004687,0.0004687,0.0004687
163,785.303,0.28775,0.28378,0.8684,0.99159,1,0.99493,0.96551,0.26175,0.30342,0.63565,0.0004654,0.0004654,0.0004654
164,790.173,0.28847,0.28393,0.86212,0.99231,1,0.995,0.96829,0.26586,0.29961,0.63616,0.0004621,0.0004621,0.0004621
165,794.949,0.27937,0.27473,0.87245,0.99539,1,0.995,0.96754,0.27043,0.29165,0.63769,0.0004588,0.0004588,0.0004588
166,799.79,0.29575,0.28137,0.87436,0.99812,1,0.995,0.96967,0.25109,0.29754,0.63461,0.0004555,0.0004555,0.0004555
167,804.583,0.2862,0.27417,0.86893,0.99808,1,0.995,0.96894,0.25259,0.29811,0.63609,0.0004522,0.0004522,0.0004522
168,809.379,0.27545,0.27371,0.86433,0.99744,1,0.995,0.97139,0.25068,0.2942,0.6336,0.0004489,0.0004489,0.0004489
169,814.185,0.28335,0.27778,0.86489,0.99259,1,0.995,0.97144,0.25227,0.28822,0.63438,0.0004456,0.0004456,0.0004456
170,818.986,0.29009,0.28241,0.86899,0.99301,1,0.995,0.97307,0.2481,0.29193,0.63353,0.0004423,0.0004423,0.0004423
171,823.788,0.27741,0.27336,0.86461,0.99415,1,0.995,0.97068,0.25089,0.29148,0.63468,0.000439,0.000439,0.000439
172,828.582,0.28485,0.28402,0.8649,0.99793,1,0.995,0.97345,0.25199,0.29281,0.63594,0.0004357,0.0004357,0.0004357
173,833.433,0.28521,0.28267,0.86736,0.99882,1,0.995,0.97315,0.25584,0.28239,0.63688,0.0004324,0.0004324,0.0004324
174,838.237,0.2787,0.27096,0.86451,0.9985,1,0.995,0.96831,0.26601,0.28082,0.63926,0.0004291,0.0004291,0.0004291
175,843.027,0.28364,0.27624,0.86672,0.99729,1,0.995,0.96981,0.26643,0.28306,0.63992,0.0004258,0.0004258,0.0004258
176,847.849,0.2828,0.27757,0.86555,0.99607,1,0.995,0.97426,0.26121,0.27794,0.63925,0.0004225,0.0004225,0.0004225
177,852.652,0.27617,0.27645,0.86512,0.99706,1,0.995,0.96777,0.26991,0.28043,0.63891,0.0004192,0.0004192,0.0004192
178,857.447,0.27033,0.27631,0.8615,0.9975,1,0.995,0.96754,0.26837,0.273,0.63745,0.0004159,0.0004159,0.0004159
179,862.264,0.28486,0.27287,0.86705,0.99879,1,0.995,0.96797,0.25921,0.27222,0.63554,0.0004126,0.0004126,0.0004126
180,867.035,0.27614,0.26943,0.86164,0.99909,1,0.995,0.96857,0.25103,0.27149,0.63507,0.0004093,0.0004093,0.0004093
181,871.838,0.28067,0.27569,0.86551,0.9988,1,0.995,0.9707,0.24043,0.26955,0.63318,0.000406,0.000406,0.000406
182,876.76,0.28905,0.27995,0.864,0.99676,1,0.995,0.97303,0.24316,0.26812,0.63392,0.0004027,0.0004027,0.0004027
183,881.54,0.27165,0.27212,0.86385,0.99229,1,0.995,0.97014,0.2456,0.26925,0.6347,0.0003994,0.0003994,0.0003994
184,886.356,0.28346,0.27541,0.87109,0.99224,1,0.995,0.96779,0.24798,0.26388,0.63424,0.0003961,0.0003961,0.0003961
185,891.197,0.28793,0.28115,0.86414,0.99254,1,0.995,0.96575,0.2611,0.25893,0.63589,0.0003928,0.0003928,0.0003928
186,895.988,0.27687,0.27657,0.86504,0.99251,1,0.995,0.9613,0.28855,0.2627,0.63927,0.0003895,0.0003895,0.0003895
187,900.773,0.2908,0.27732,0.86234,0.99704,1,0.995,0.96775,0.25929,0.26517,0.63642,0.0003862,0.0003862,0.0003862
188,905.617,0.27314,0.273,0.86976,0.99256,1,0.995,0.97505,0.24268,0.27383,0.63499,0.0003829,0.0003829,0.0003829
189,910.411,0.27727,0.27424,0.86464,0.99179,1,0.995,0.96845,0.26089,0.28176,0.6386,0.0003796,0.0003796,0.0003796
190,915.231,0.27696,0.26894,0.86935,0.99178,1,0.995,0.96889,0.26665,0.2901,0.64072,0.0003763,0.0003763,0.0003763
191,920.115,0.27165,0.26833,0.86288,0.99229,1,0.995,0.97288,0.25799,0.28631,0.64031,0.000373,0.000373,0.000373
